no;tanggal_registrasi;judul;pengarang;penerbit;tahun_terbit;jenis_sumber;keterangan;nomor_induk;
1;07/08/2025;Festival persahabatan;Yovita Siswati;Badan Pengembangan dan Pembinaan Bahasa;2020;Hadiah;Perpustakaan Nasional;2024001;
2;07/08/2025;Garam gunung;Dedy Apriansyah;Yayasan Litara;2021;Hadiah;Perpustakaan Nasional;2024002;
3;07/08/2025;Selamatkan dirimu!;Dewi Cholidatul;Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi;2022;Hadiah;Perpustakaan Nasional;2024003;
4;07/08/2025;Hari potong rambut tahunan;Rohini Nilekani;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024004;
5;07/08/2025;Dokter kapuk ;Michelle Matthews;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024005;
6;07/08/2025;Senyum Ulan;Retno Utami;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024006;
7;07/08/2025;Istina impian mama penguin;Helen Brain;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024007;
8;07/08/2025;Sepasang mata;Veronica W;Badan Pengembangan dan Pembinaan Bahasa;2020;Hadiah;Perpustakaan Nasional;2024008;
9;07/08/2025;Flora dan fauna di kolam kota;Ashish Kothari;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024009;
10;07/08/2025;Pai lezat harimau;Nguyen Tran Thien Loc;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024010;
11;07/08/2025;Ming-Ming, si beruang kecil yang gembul;Jerry Pinto;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024011;
12;07/08/2025;Monyet-monyet dari tirkol;Alice Edui;badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024012;
13;07/08/2025;Mari berjalan bersamaku;Jade Mathieson;Badan Pengembangan dan Pembinaan Bahasa ;2022;Hadiah;Perpustakaan Nasional;2024013;
14;07/08/2025;Buku terbaik;Julie Romies Sanders;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024014;
15;07/08/2025;Pawai menuju kebebasan;Subhadra Sen Gupta;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024015;
16;07/08/2025;Sejarah toilet;Veena Prasad;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024016;
17;07/08/2025;Kota panam;HerStory Foundation;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024017;
18;07/08/2025;Berapa?;Clare Verbeek;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024018;
19;07/08/2025;Aku tahu cara berhitung;Milena da Silva;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024019;
20;07/08/2025;Drake si naga ajaib ;Created collaboratively at the mEducation Alliance;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024020;
21;07/08/2025;Sreeet;Erna Fitrini;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024021;
22;07/08/2025;Cerita dari suku baduy;Tuti Adhayati;Badan Pengembangan dan Pembinaan Bahasa;2020;Hadiah;Perpustakaan Nasional;2024022;
23;07/08/2025;Kreasi kardus Eli;Sharon Leman;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024023;
24;07/08/2025;Sejarah Kasturba Gandhi ;Subhadra Sen Gupta;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024024;
25;07/08/2025;Di manakah Nandini?;Anitha Murthy;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024025;
26;07/08/2025;Petualangan ke masa lalu;Pratiwi Ambarwati;Badan Pengembangan dan Pembinaan Bahasa;2020;Hadiah;Perpustakaan Nasional;2024026;
27;07/08/2025;Lassi, es krim atau falooda?;Mala Kumar;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024027;
28;07/08/2025;Kalahkan si monster sampah!;Sujin Kim;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024028;
29;07/08/2025;Mahkota untuk ibu pertiwi;Recle E. Vibal;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024029;
30;07/08/2025;Kuki bangun pagi;Vera Safitri;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024030;
31;07/08/2025;Kue lapis harimau;Salma Intifada;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024031;
32;07/08/2025;Sedotani si ratu sampah;John Frederic C. Bugayong;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024032;
33;07/08/2025;Pilus rumput laut untuk Rasi;Nabila Adani;Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi;2022;Hadiah;Perpustakaan Nasional;2024033;
34;07/08/2025;Pesan damai nasi kembar;Supriyatin Soeprie Ketji;Badan Pengembangan dan Pembinaan Bahasa;2020;Hadiah;Perpustakaan Nasional;2024034;
35;07/08/2025;Atu dan sandal;Endah Widyawati;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024035;
36;07/08/2025;Sentuhan dedaunan hijau;Rya Jetha;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024036;
37;07/08/2025;Warna-warni kemah sains;Ana Falesthein Tahta Alfina;badan Pengembangan dan Pembinaan Bahasa;2019;Hadiah;Perpustakaan Nasional;2024037;
38;07/08/2025;Dengar, suara apa itu?;Novel Meilanie;badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024038;
39;07/08/2025;Orang Armenia di Dhaka;HerStory Foundation;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024039;
40;07/08/2025;Sore seru suri;Anggraeni Dian Permatasari;Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi;2019;Hadiah;Perpustakaan Nasional;2024040;
41;07/08/2025;Permainan rahasia Minul;Nurhayati Pujiastuti;Badan Pengembangan dan Pembinaan Bahasa;2019;Hadiah;Perpustakaan Nasional;2024041;
42;07/08/2025;Kacamata super opin;Ruri Irawati;Badan Pengembangan dan Pembinaan Bahasa;2019;Hadiah;Perpustakaan Nasional;2024042;
43;07/08/2025;Apa yang lebih seru?;Fajriatun Nurhidayati;Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi;2022;Hadiah;Perpustakaan Nasional;2024043;
44;07/08/2025;Di mana kacang Sipet?;Aris Hartanti;Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi;2022;Hadiah;Perpustakaan Nasional;2024044;
45;07/08/2025;Sepatu roda Noya;Sariyatul Ilyana;Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi;2023;Hadiah;Perpustakaan Nasional;2024045;
46;07/08/2025;Tutu banting pintu;Ary Nilandari;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024046;
47;07/08/2025;Bagaimana caranya?;Afiffah Nada P. R.;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024047;
48;07/08/2025;Pantai untuk semua;Sarah Fauzia;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024048;
49;07/08/2025;Kucing kubus dan kucing kerucut;Praba Ram, Sheela Preuitt;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024049;
50;07/08/2025;Kotaku, anjing-anjingku;Abodh Aras;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024050;
51;07/08/2025;Keinginan Dany;Komar Rien Komar Cheh;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024051;
52;07/08/2025;Gigi yang goyang;Reshma Thapa Gurung;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024052;
53;07/08/2025;Witan dan negeri arana;Audelia Agustine;Badan Pengembangan dan Pembinaan Bahasa;2019;Hadiah;Perpustakaan Nasional;2024053;
54;07/08/2025;Siapa yang Takut dengan Monster Penjual Permen;Sri Sarastuti;Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi;2022;Hadiah;Perpustakaan Nasional;2024054;
55;07/08/2025;Mengapa ayam betina berkotek?;Lim Shang Nee;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024055;
56;07/08/2025;Sita dan pensil ungu;Sweccha;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024056;
57;07/08/2025;Nanti saja;Fransisca Emilia;Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi;2022;Hadiah;Perpustakaan Nasional;2024057;
58;07/08/2025;Mencari lempesu;Uring I, ing;Yayasan LItara;2021;Hadiah;Perpustakaan Nasional;2024058;
59;07/08/2025;Membaca itu asyik;Hello English;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024059;
60;07/08/2025;Itam dan u;Yovita Siswati;Pusat Perbukuan;2019;Hadiah;Perpustakaan Nasional;2024060;
61;07/08/2025;Petualangan di jalan pertokoan nakamise;Jonathan Wells;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024061;
62;07/08/2025;Kawanan gajah yang suka menari;Munda Writers' Group;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024062;
63;07/08/2025;Pesta Laddu;Srividhya Venkat;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024063;
64;07/08/2025;Karena anggrek ibu;Debby Lukito;Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi;2022;Hadiah;Perpustakaan Nasional;2024064;
65;07/08/2025;Kemiri untuk tuto;Lia Loeferns;Badan Pengembangan dan Pembinaan Bahasa;2019;Hadiah;Perpustakaan Nasional;2024065;
66;07/08/2025;Perjamuan Kerajaan;Aditi Das;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024066;
67;07/08/2025;Kau sedang apa, Lala?;Widya Ross;badan Pengembangan dan Pembinaan Bahasa;2021;Hadiah;Perpustakaan Nasional;2024067;
68;07/08/2025;Gambar lucu Mika;Tyas Widjati;Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi;2022;Hadiah;Perpustakaan Nasional;2024068;
69;07/08/2025;Tikar ajaib milik akai;Ursula Nafula;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024069;
70;07/08/2025;Ini atau itu?;Barbara Eni;Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi;2022;Hadiah;Perpustakaan Nasional;2024070;
71;07/08/2025;Mau masak apa, Lintang?;Lutfia Khoirunisa;Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi;2019;Hadiah;Perpustakaan Nasional;2024071;
72;07/08/2025;Murai bintik;Imelda Naomi;Badan Pengembangan dan Pembinaan Bahasa;2019;Hadiah;Perpustakaan Nasional;2024072;
73;07/08/2025;Putri di dalam hutan;Witaru Emi;Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi;2022;Hadiah;Perpustakaan Nasional;2024073;
74;07/08/2025;Keseruan hari gurru dan peechu;Meenu Thomas;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024074;
75;07/08/2025;Sembunyikan ;All Children Reading- Cambodia;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024075;
76;07/08/2025;Jungkir balik;Rohini Nilekani;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024076;
77;07/08/2025;Pemburu kecil nan kuat;Shals Mahajan;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024077;
78;07/08/2025;Bibit kecil: Kisah wangari maathai;Nicola Rijsdijk;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024078;
79;07/08/2025;Manusia super penyelamat kucing;Mai Phoung;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024079;
80;07/08/2025;Randi dan hutan bukit giri;Dawud Achroni;Badan Pengembangan dan Pembinaan Bahasa;2019;Hadiah;Perpustakaan Nasional;2024080;
81;07/08/2025;Nona bupu;Widayati Mia Pratiwi;Badan Pengembangan dan Pembinaan Bahasa;2020;Hadiah;Perpustakaan Nasional;2024081;
82;07/08/2025;Bibi dan aku;Timira Gupta;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024082;
83;07/08/2025;Pluk mangga jatuh;Sarvendra Vikram;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024083;
84;07/08/2025;Hujan badai;K. R. Vishrutha;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024084;
85;07/08/2025;Tidak bisa tidak;Lenny Puspita Ekawaty;Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi;2022;Hadiah;Perpustakaan Nasional;2024085;
86;07/08/2025;Ela, si Kecil yang Baik Hati;Zuddi Ichwan Priyana;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024086;
87;07/08/2025;Lihat! lihat!;Erna Fitrini;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024087;
88;07/08/2025;Banyu dan Manu;WIdjati Hartiningtyas;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024088;
89;07/08/2025;Si cemong coak;Iwok Abqory;Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi;2022;Hadiah;Perpustakaan Nasional;2024089;
90;07/08/2025;Pemberian pak beruang;Ana Falesthein Tahta Alfina;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024090;
91;07/08/2025;Sabai Nan Aluih;Wenny Oktavia;Badan Pengembangan dan Pembinaan Bahasa;2021;Hadiah;Perpustakaan Nasional;2024091;
92;#REF!;Kawanku anak badui;Dzulqornain Ramadiansyah;Badan Pengembangan dan Pembinaan Bahasa;2020;Hadiah;Perpustakaan Nasional;2024092;
93;07/08/2025;Rumah dendeng;Aniek Wijaya;Pusat Perbukuan;2019;Hadiah;Perpustakaan Nasional;2024093;
94;07/08/2025;Ayam pemarah ;Winny Asara;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024094;
95;07/08/2025;Lamang tapai penganan purba minangkabau;Dian Arsa;Badan Pengembangan dan Pembinaan Bahasa;2017;Hadiah;Perpustakaan Nasional;2024095;
96;07/08/2025;Ada jejak di kaki ciremai;Wenny Oktavia;Badan Pengembangan dan Pembinaan Bahasa;2020;Hadiah;Perpustakaan Nasional;2024096;
97;07/08/2025;Perjalanan mencari biji kopi Juria;Zuddi Ichwan Priyana;Badan Pengembangan dan Pembinaan Bahasa;2021;Hadiah;Perpustakaan Nasional;2024097;
98;07/08/2025;Putri ikan dan parana;Evi Z. Indriani;Pusat Perbukuan;2019;Hadiah;Perpustakaan Nasional;2024098;
99;07/08/2025;Biji merah Luna;Ammy Kudo;Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi;2022;Hadiah;Perpustakaan Nasional;2024099;
100;07/08/2025;Waktunya berbelanja;Komar Rien Komar Cheh;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024100;
101;07/08/2025;Cuaca dalam diriku;Jen Thorpe;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024101;
102;07/08/2025;Kejutan ulang tahun untuk Sato;Brad Cuzen;Badan Pengembangan dan Pembinaan Bahasa ;2022;Hadiah;Perpustakaan Nasional;2024102;
103;07/08/2025;Julia berlari pulang;Rukmini Banerji;Badan Pengembangan dan Pembinaan Bahasa ;2022;Hadiah;Perpustakaan Nasional;2024103;
104;07/08/2025;Ke Hutan Lindung;Rezcy Amalia;Yayasan Litara;2020;Hadiah;Perpustakaan Nasional;2024104;
105;07/08/2025;Mama, aku bukan dia;Herti Audrey Maulina;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024105;
106;07/08/2025;Hari seru Gebi;Oky E. Noorsari;Pusat Perbukuan;2019;Hadiah;Perpustakaan Nasional;2024106;
107;07/08/2025;Kacamata nenek;Rohini Nilekani;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024107;
108;07/08/2025;Anak anjing Adel;Sowmya Rajendran;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024108;
109;07/08/2025;Bekal makang siang Samira yang menjijikkan;Bharati Jagannathan;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024109;
110;07/08/2025;Siapa yang Dapat Apelnya?;Zaw Lin Oo;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024110;
111;07/08/2025;Benda-benda Berta;Astri Riyadi;Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi;2019;Hadiah;Perpustakaan Nasional;2024111;
112;07/08/2025;Bonus satu Kulfi!;Alankrita Amaya;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024112;
113;07/08/2025;Matematika ada di mana0mana 1 (tingkat sedang);Suman Das;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024113;
114;07/08/2025;Bili dan Soli;Eka Yuliati;Pusat Perbukuan;2019;Hadiah;Perpustakaan Nasional;2024114;
115;07/08/2025;Udang Papai;Siti Nasriah;Yayasan Litara;2020;Hadiah;Perpustakaan Nasional;2024115;
116;07/08/2025;Abdul dan harimau;Tyas Widjati;Pusat Perbukuan ;2019;Hadiah;Perpustakaan Nasional;2024116;
117;07/08/2025;Apakah kamu burung pelatuk?;Suhel Quader;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024117;
118;07/08/2025;Ayah sedang apa?;Komar Rien Komar Cheh;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024118;
119;07/08/2025;Guntung yang memakan kuemu, bu;Tham Tam;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024119;
120;07/08/2025;Cerita dini;Dzulqornain Ramadiansyah;Badan Pengembangan dan Pembinaan Bahasa;2020;Hadiah;Perpustakaan Nasional;2024120;
121;07/08/2025;Burung cekakak dan lautan;Peter Omoko;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024121;
122;07/08/2025;Batik tambal Anom;Dewi Nastiti;Badan Pengembangan dan Pembinaan Bahasa;2020;Hadiah;Perpustakaan Nasional;2024122;
123;07/08/2025;Buldoser Beti;Adi Sumunar;Pusat Perbukuan;2019;Hadiah;Perpustakaan Nasional;2024123;
124;07/08/2025;Nyadran: Belajar Toleransi Pada Tradisi;Fajriatun Nurhidayati;Badan Pengembangan dan Pembinaan Bahasa;2020;Hadiah;Perpustakaan Nasional;2024124;
125;07/08/2025;Ampa dan burung-burung pipit;Vinitha R;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024125;
126;07/08/2025;Sehari di desa Sade;Tyas KW;Badan Pengembangan dan Pembinaan Bahasa;2020;Hadiah;Perpustakaan Nasional;2024126;
127;07/08/2025;Mencari bunga bitanggur;Witaru Emi;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024127;
128;07/08/2025;Suatu sore di musim panas;Mahipal;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024128;
129;07/08/2025;Penerbangan seumur hidup;Hello English;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024129;
130;07/08/2025;Kisah seorang gamer;Viraaj Pathariya;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024130;
131;07/08/2025;Burung merak dan pakoda;Mala Kumar;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024131;
132;07/08/2025;Bayoi;Puji Lestari;Yayasan Litara;2021;Hadiah;Perpustakaan Nasional;2024132;
133;07/08/2025;Gadis kecil yang bermimpi;Dona Wording;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024133;
134;07/08/2025;Buah apa?;Titik Suprapti;Yayasan Litara;2020;Hadiah;Perpustakaan Nasional;2024134;
135;07/08/2025;Perkedel ikan bubuk;Sabaniah;Yayasan Litara;2021;Hadiah;Perpustakaan Nasional;2024135;
136;07/08/2025;Baingani;Vivaan M;Badan Pengembangan dan Pembinaan Bahasa;2024;Hadiah;Perpustakaan Nasional;2024136;
137;07/08/2025;Penculikan Naya;Ridwan;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024137;
138;07/08/2025;Kebun Binatang liar Maddy Moona!;Rachel Zadok;Badan Pengembangan dan Pembinaan Bahasa;2024;Hadiah;Perpustakaan Nasional;2024138;
139;07/08/2025;Menemukan rumah;Lizzie Umbach;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024139;
140;07/08/2025;Berangkat!;Rohini Kejriwal;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024140;
141;07/08/2025;Nyanyian di bawah rintik hujan;Mala Kumar, Manisha Chaudhry;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024141;
142;07/08/2025;Sophy dan sopheap;Komar Rien Komar Cheh;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024142;
143;07/08/2025;Ayo, kita bermain petak umpet;Samvida Venkatesh;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024143;
144;07/08/2025;Rumah pertama;Nabanita Deshmukh;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024144;
145;07/08/2025;Gadis kecil dan boneka usang;Drishti Kashyap;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024145;
146;07/08/2025;"Seberapa jauh ""jauh"" itu?";Sukanya Sinha;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024146;
147;07/08/2025;Mengukir keindahan lamin;Kity Karenisa;Badan Pengembangan dan Pembinaan Bahasa;2020;Hadiah;Perpustakaan Nasional;2024147;
148;07/08/2025;Cut nyak meutia pahlawanku;Wenny Oktavia;Badan Pengembangan dan Pembinaan Bahasa;2019;Hadiah;Perpustakaan Nasional;2024148;
149;07/08/2025;Petualangan Sangga;Muhamad Sanjaya;Badan Pengembangan dan Pembinaan Bahasa;2021;Hadiah;Perpustakaan Nasional;2024149;
150;07/08/2025;Cita- cita Anya;Laksmi Manohara;Badan Pengembangan dan Pembinaan Bahasa;2022;Hadiah;Perpustakaan Nasional;2024150;
151;07/08/2025;Cerita anak teluk youtefa;Febysti Davela R;Badan Pengembangan dan Pembinaan Bahasa ;2019;Hadiah;Perpustakaan Nasional;2024151;
